"endTime","artistName","trackName","msPlayed","danceability","energy","valence","loudness","instrumentalness","day_of_week","time_of_day","session_id","listener_category","mood"
2023-10-11 23:26:00,"Taylor Swift","New Romantics",198489,0.653,0.848,0.724,-5.936,4.24e-06,"Wednesday","LateNight",1,"Super Listeners","Happy, Energetic, Uplifting"
2023-10-12 00:49:00,"Taylor Swift","New Romantics",31864,0.653,0.848,0.724,-5.936,4.24e-06,"Thursday","Night",2,"Super Listeners","Happy, Energetic, Uplifting"
2023-10-12 00:54:00,"Taylor Swift","The Story Of Us (Taylor's Version)",267653,0.516,0.784,0.552,-2.636,0,"Thursday","Night",2,"Super Listeners","Confident, Empowered, Motivational"
2023-10-12 00:58:00,"Taylor Swift","End Game",244826,0.649,0.589,0.151,-6.237,0,"Thursday","Night",2,"Super Listeners","Anxious, Intense, Agitated"
2023-10-12 00:59:00,"Taylor Swift","All You Had To Do Was Stay",34933,0.589,0.713,0.54,-5.614,0,"Thursday","Night",2,"Super Listeners","Confident, Empowered, Motivational"
2023-10-12 01:14:00,"Taylor Swift","Wonderland",245560,0.387,0.703,0.32,-5.956,1.1e-05,"Thursday","Night",2,"Super Listeners","Balanced, Neutral, Easy-going"
2023-10-12 01:21:00,"Taylor Swift","We Are Never Ever Getting Back Together (Taylor's Version)",152894,0.567,0.686,0.716,-6.139,1.86e-06,"Thursday","Night",2,"Super Listeners","Confident, Empowered, Motivational"
2023-10-12 02:01:00,"Taylor Swift","Welcome To New York",212600,0.76,0.602,0.685,-4.871,0.000133,"Thursday","Night",3,"Super Listeners","Confident, Empowered, Motivational"
2023-10-12 02:04:00,"Taylor Swift","London Boy",125716,0.695,0.71,0.557,-6.639,0.000104,"Thursday","Night",3,"Super Listeners","Confident, Empowered, Motivational"
2023-10-12 05:18:00,"Thomas Rhett","It Goes Like This",15615,0.543,0.837,0.506,-6.448,0,"Thursday","Night",4,"Occasional Listeners","Confident, Empowered, Motivational"
2023-10-12 05:18:00,"Kenya Grace","Strangers",16448,0.628,0.523,0.416,-8.307,0.00274,"Thursday","Night",4,"Occasional Listeners","Content, Peaceful, Reflective"
2023-10-12 18:17:00,"JAY-Z","Empire State Of Mind",276920,0.491,0.956,0.811,-1.538,0,"Thursday","Evening",5,"Light Listeners","Confident, Empowered, Motivational"
2023-10-12 18:20:00,"JAY-Z","Empire State Of Mind",178176,0.491,0.956,0.811,-1.538,0,"Thursday","Evening",5,"Light Listeners","Confident, Empowered, Motivational"
2023-10-12 18:23:00,"Taylor Swift","Shake It Off",219200,0.647,0.785,0.943,-5.414,0,"Thursday","Evening",5,"Super Listeners","Happy, Energetic, Uplifting"
2023-10-12 18:27:00,"Taylor Swift","All You Had To Do Was Stay",193293,0.589,0.713,0.54,-5.614,0,"Thursday","Evening",5,"Super Listeners","Confident, Empowered, Motivational"
2023-10-12 19:04:00,"Taylor Swift","How You Get The Girl",468728,0.761,0.67,0.519,-5.956,1.08e-05,"Thursday","Evening",6,"Super Listeners","Confident, Empowered, Motivational"
2023-10-12 19:09:00,"Taylor Swift","Welcome To New York",212600,0.76,0.602,0.685,-4.871,0.000133,"Thursday","Evening",6,"Super Listeners","Confident, Empowered, Motivational"
2023-10-12 19:13:00,"Taylor Swift","Out Of The Woods",235800,0.544,0.884,0.184,-5.973,0.000134,"Thursday","Evening",6,"Super Listeners","Anxious, Intense, Agitated"
2023-10-12 19:17:00,"Taylor Swift","I Wish You Would",207440,0.671,0.853,0.523,-6.568,9.48e-06,"Thursday","Evening",6,"Super Listeners","Confident, Empowered, Motivational"
2023-10-12 19:21:00,"Taylor Swift","This Love",250093,0.47,0.494,0.0524,-8.672,0,"Thursday","Evening",6,"Super Listeners","Somber, Reflective, Wistful"
2023-10-12 19:25:00,"Taylor Swift","Wildest Dreams",220440,0.587,0.663,0.539,-7.439,9.95e-05,"Thursday","Evening",6,"Super Listeners","Confident, Empowered, Motivational"
2023-10-12 19:28:00,"Taylor Swift","Bad Blood",211933,0.604,0.644,0.197,-6.931,0,"Thursday","Evening",6,"Super Listeners","Anxious, Intense, Agitated"
2023-10-12 19:32:00,"Taylor Swift","Wonderland",245560,0.387,0.703,0.32,-5.956,1.1e-05,"Thursday","Evening",6,"Super Listeners","Balanced, Neutral, Easy-going"
2023-10-12 19:36:00,"Taylor Swift","I Know Places",195706,0.572,0.807,0.626,-5.348,0,"Thursday","Evening",6,"Super Listeners","Happy, Energetic, Uplifting"
2023-10-12 19:40:00,"Taylor Swift","Clean",271000,0.782,0.379,0.267,-8.964,2.98e-05,"Thursday","Evening",6,"Super Listeners","Somber, Reflective, Wistful"
2023-10-12 19:44:00,"Taylor Swift","New Romantics",230466,0.653,0.848,0.724,-5.936,4.24e-06,"Thursday","Evening",6,"Super Listeners","Happy, Energetic, Uplifting"
2023-10-12 19:48:00,"Taylor Swift","Blank Space",231826,0.753,0.678,0.583,-5.421,1.64e-06,"Thursday","Evening",6,"Super Listeners","Confident, Empowered, Motivational"
2023-10-12 19:52:00,"Taylor Swift","Style",231000,0.514,0.821,0.298,-4.803,0.0232,"Thursday","Evening",6,"Super Listeners","Anxious, Intense, Agitated"
2023-10-12 19:56:00,"Taylor Swift","You Are In Love",234993,0.554,0.509,0.401,-9.403,2.08e-06,"Thursday","Evening",6,"Super Listeners","Content, Peaceful, Reflective"
2023-10-12 21:59:00,"Taylor Swift","How You Get The Girl",220352,0.761,0.67,0.519,-5.956,1.08e-05,"Thursday","Evening",7,"Super Listeners","Confident, Empowered, Motivational"
2023-10-12 22:05:00,"Taylor Swift","Timeless (Taylor’s Version) (From The Vault)",321396,0.629,0.578,0.651,-5.806,0,"Thursday","LateNight",7,"Super Listeners","Fun, Playful, Lively"
2023-10-12 22:06:00,"Taylor Swift","I Can See You (Taylor’s Version) (From The Vault)",58796,0.695,0.768,0.813,-4.883,0,"Thursday","LateNight",7,"Super Listeners","Happy, Energetic, Uplifting"
2023-10-12 22:21:00,"Taylor Swift","Better Than Revenge (Taylor's Version)",220306,0.505,0.893,0.659,-3.013,0,"Thursday","LateNight",7,"Super Listeners","Happy, Energetic, Uplifting"
2023-10-12 22:25:00,"Taylor Swift","Sparks Fly (Taylor’s Version)",261230,0.605,0.769,0.366,-2.413,0,"Thursday","LateNight",7,"Super Listeners","Balanced, Neutral, Easy-going"
2023-10-12 22:30:00,"Taylor Swift","Innocent (Taylor's Version)",300465,0.524,0.611,0.126,-5.298,0,"Thursday","LateNight",7,"Super Listeners","Anxious, Intense, Agitated"
2023-10-12 22:35:00,"Taylor Swift","Enchanted (Taylor's Version)",283206,0.52,0.553,0.227,-3.546,0,"Thursday","LateNight",7,"Super Listeners","Anxious, Intense, Agitated"
2023-10-13 18:57:00,"Taylor Swift","Welcome To New York",212600,0.76,0.602,0.685,-4.871,0.000133,"Friday","Evening",8,"Super Listeners","Confident, Empowered, Motivational"
2023-10-13 19:00:00,"Taylor Swift","All You Had To Do Was Stay",137086,0.589,0.713,0.54,-5.614,0,"Friday","Evening",8,"Super Listeners","Confident, Empowered, Motivational"
2023-10-13 19:03:00,"Taylor Swift","Our Song",202178,0.668,0.672,0.539,-4.931,0,"Friday","Evening",8,"Super Listeners","Confident, Empowered, Motivational"
2023-10-13 19:07:00,"Taylor Swift","How You Get The Girl",247533,0.761,0.67,0.519,-5.956,1.08e-05,"Friday","Evening",8,"Super Listeners","Confident, Empowered, Motivational"
2023-10-13 19:36:00,"Taylor Swift","Fearless (Taylor’s Version)",91858,0.569,0.741,0.43,-4.963,0,"Friday","Evening",8,"Super Listeners","Fun, Playful, Lively"
2023-10-13 19:38:00,"Taylor Swift","How You Get The Girl",146282,0.761,0.67,0.519,-5.956,1.08e-05,"Friday","Evening",8,"Super Listeners","Confident, Empowered, Motivational"
2023-10-13 20:37:00,"Taylor Swift","Fearless (Taylor’s Version)",242071,0.569,0.741,0.43,-4.963,0,"Friday","Evening",9,"Super Listeners","Fun, Playful, Lively"
2023-10-13 20:37:00,"Taylor Swift","Love Story (Taylor’s Version)",20042,0.626,0.79,0.416,-4.302,3.97e-06,"Friday","Evening",9,"Super Listeners","Fun, Playful, Lively"
2023-10-13 20:41:00,"Taylor Swift","Blank Space",231826,0.753,0.678,0.583,-5.421,1.64e-06,"Friday","Evening",9,"Super Listeners","Confident, Empowered, Motivational"
2023-10-13 20:45:00,"Taylor Swift","You Belong With Me (Taylor’s Version)",231124,0.632,0.773,0.474,-4.856,0,"Friday","Evening",9,"Super Listeners","Fun, Playful, Lively"
2023-10-13 20:52:00,"Taylor Swift","I Know Places",18416,0.572,0.807,0.626,-5.348,0,"Friday","Evening",9,"Super Listeners","Happy, Energetic, Uplifting"
2023-10-14 01:20:00,"Taylor Swift","I Know Places",41173,0.572,0.807,0.626,-5.348,0,"Saturday","Night",10,"Super Listeners","Happy, Energetic, Uplifting"
2023-10-14 01:26:00,"Taylor Swift","Timeless (Taylor’s Version) (From The Vault)",321396,0.629,0.578,0.651,-5.806,0,"Saturday","Night",10,"Super Listeners","Fun, Playful, Lively"
2023-10-14 01:31:00,"Taylor Swift","Foolish One (Taylor’s Version) (From The Vault)",311765,0.672,0.613,0.557,-4.709,0,"Saturday","Night",10,"Super Listeners","Confident, Empowered, Motivational"
2023-10-14 01:35:00,"Taylor Swift","Sparks Fly (Taylor’s Version)",261230,0.605,0.769,0.366,-2.413,0,"Saturday","Night",10,"Super Listeners","Balanced, Neutral, Easy-going"
2023-10-14 01:38:00,"Taylor Swift","Ours (Taylor’s Version)",127232,0.539,0.475,0.293,-8.411,0,"Saturday","Night",10,"Super Listeners","Somber, Reflective, Wistful"
2023-10-14 04:50:00,"Maddie Ross","Scotty Doesn't Know",12160,0.543,0.761,0.749,-4.993,9.28e-06,"Saturday","Night",11,"Occasional Listeners","Happy, Energetic, Uplifting"
